Item Name,Package Weight,Package Length,Package Height,Package Width,SKU
LSV12M,0.055,3.70,2.10,2.10,LSV12M
MADASBLK-25,2.025,18.875,1.75,9.00,MADASBLK-25
MADASBLK-5,0.405,17.25,2.00,7.75,MADASBLK-5
MADASBLU-25,2.025,18.875,1.75,9.00,MADASBLU-25
MADASBLU-5,0.405,13.25,1.00,7.00,MADASBLU-5
MADBLK-100,0.40,5.25,1.50,4.00,MADBLK-100
MADBLK-5,0.015,3.00,0.50,1.25,MADBLK-5
MADBLU-100,0.30,5.25,1.50,4.00,MADBLU-100
MADBLU-5,0.003,3.00,0.50,1.25,MADBLU-5
MAG2,3.887,6.75,6.375,3.50,MAG2
MAG3,3.30,6.75,6.688,4.375,MAG3
MAGAQUA1,3.00,23.00,2.25,2.25,MAGAQUA1
MAGAQUASS1,7.00,21.00,2.25,2.25,MAGAQUASS1
MAGFUNNEL,1.00,7.00,4.00,4.00,MAGFUNNEL
MAGPBBLKL,0.05,3.00,0.50,3.00,MAGPBBLKL
MAGPBBLUL,0.05,3.00,0.50,3.00,MAGPBBLUL
MAGRAIN1,1.50,5.60,2.30,2.30,MAGRAIN1
MAGRAIN34,1.00,5.00,1.75,1.75,MAGRAIN34
MAGSPRING34,1.00,2.00,2.00,2.00,MAGSPRING34
MAJ180-5,0.03,4.00,0.50,1.50,MAJ180-5
MAJ180-50,0.30,5.50,1.00,3.25,MAJ180-50
MAJ360-5,0.03,3.75,1.00,1.00,MAJ360-5
MAJ360-50,0.30,5.50,3.00,2.00,MAJ360-50
MAJ90-5,0.03,3.50,0.875,1.00,MAJ90-5
MAJ90-50,0.30,6.00,1.50,2.50,MAJ90-50
ME12B,0.019,1.20,1.10,1.10,ME12B
MEAD,0.009,1.688,0.25,0.688,MEAD
MEBARB-100,0.25,4.00,1.60,2.90,MEBARB-100
MEBARB-5,0.001,2.00,0.55,1.35,MEBARB-5
MEBLA,0.002,0.875,0.25,0.313,MEBLA
MEBRT24,0.07,25.25,1.25,0.50,MEBRT24
MEBRT36,0.08,36.80,0.50,1.30,MEBRT36
MEBRT48,0.108,49.25,0.50,1.30,MEBRT48
MECOL,0.001,0.80,0.30,0.30,MECOL
MECPL,0.008,1.00,0.75,0.313,MECPL
MEGRO,0.001,0.50,0.50,0.313,MEGRO
MELOW,0.001,0.625,0.313,0.25,MELOW
MEMR18,0.098,18.00,0.20,0.20,MEMR18
MEMR36,0.20,36.00,0.20,0.20,MEMR36
MEMRA,0.002,0.70,0.40,0.40,MEMRA
MENIP,0.008,0.813,0.188,0.375,MENIP
MEPLUG,0.001,0.375,0.188,0.375,MEPLUG
MEPS,0.046,12.75,1.00,1.00,MEPS
MERED,0.001,0.938,0.188,0.375,MERED
MESK,0.105,13.375,1.00,1.50,MESK
MESK18,0.156,25.00,2.375,2.375,MESK18
MESK36,0.28,38.75,2.25,2.25,MESK36
MEVSO,0.003,1.125,0.875,0.875,MEVSO
MF2W,0.02,2.063,0.625,1.563,MF2W
MF4W,0.02,2.188,0.75,1.563,MF4W
MGDR,0.217,3.70,2.40,2.40,MGDR
MGDSM,0.235,8.375,1.375,2.25,MGDSM
MKRR10,0.02,2.75,1.00,1.00,MKRR10
